source,target,hits,score,score.1
BROWN_TROUT,SALMO_TRUTTA,176.0,13.08,13.08
BROWN_TROUT,TROUT,21.0,10.648,10.16
RAINBOW_TROUT,ONCORHYNCHUS_MYKISS,125.0,11.6725,12.395
RAINBOW_TROUT,SALMO_GAIRDNERI,36.0,11.366666666666665,11.79
STEELHEAD,RAINBOW_TROUT,29.0,12.006666666666666,11.95
TROUT,BROWN_TROUT,25.0,10.372499999999999,10.945
TROUT,RAINBOW_TROUT,25.0,10.712,10.22
TROUT,SALMO_TRUTTA,30.0,11.09,11.09
TROUT,SALVELINUS_NAMAYCUSH,36.0,12.14,12.14
TROUT,TROUT,91.0,12.745000000000001,12.745000000000001
