source,target,hits,score,score.1
ETHEOSTOMA,PERCIDAE,1.0,13.41,13.41
PERCIDAE,PERCIDAE,1.0,13.0,13.0
PERCIDAE,SANDER_VITREUS,1.0,12.41,12.41
PIKEPERCH,PIKEPERCH,1.0,10.19,10.19
PIKEPERCH,SANDER_LUCIOPERCA,20.0,13.59,13.59
PIKEPERCH,SANDER_VOLGENSIS,1.0,10.19,10.19
PIKEPERCH,STIZOSTEDION_LUCIOPERCA,5.0,12.27,12.27
SANDER_LUCIOPERCA,SANDER_LUCIOPERCA,1.0,10.24,10.24
STIZOSTEDION_LUCIOPERCA,PERCA_FLUVIATILIS,1.0,13.99,13.99
ZANDER,SANDER_LUCIOPERCA,5.0,12.32,12.32
ZANDER,STIZOSTEDION_LUCIOPERCA,1.0,11.41,11.41
