source,target,hits,score,score.1
BROOK_TROUT,SALVELINUS_FONTINALIS,26.0,11.46,11.46
BROWN_TROUT,SALMO_TRUTTA,176.0,12.38,12.84
BROWN_TROUT,TROUT,11.0,10.32,9.8
LAKE_TROUT,SALVELINUS_NAMAYCUSH,35.0,13.09,13.09
SALMONIDAE,TROUT,10.0,10.745000000000001,10.745000000000001
SALMO_SALAR,SALMO_TRUTTA,11.0,11.23,11.23
SALMO_TRUTTA,BROWN_TROUT,11.0,11.467499999999998,11.254999999999999
SEA_TROUT,SALMO_TRUTTA,13.0,9.7,9.7
TROUT,BROOK_TROUT,15.0,10.21,9.42
TROUT,BROWN_TROUT,30.0,10.675,10.879999999999999
TROUT,ONCORHYNCHUS_MYKISS,129.0,11.254999999999999,11.254999999999999
TROUT,SALMO_TRUTTA,20.0,11.485,11.485
TROUT,SALVELINUS_CONFLUENTUS,11.0,10.32,10.32
TROUT,TROUT,78.0,12.62,12.62
